2021-337-ms018-3-5-mc65-m0ej,vienna,/en/scores/stats-centre/archive/2021/337/ms018,mc65,12,14,26,15,219,136,191,118,163,101,m0ej,9,19,6,20,212,131,188,116,150,93
2021-337-ms029-3-4-n771-f724,vienna,/en/scores/stats-centre/archive/2021/337/ms029,n771,11,19,10,10,197,122,180,111,146,90,f724,13,23,24,24,203,126,192,119,160,99
2021-337-ms022-3-3-db59-ml57,vienna,/en/scores/stats-centre/archive/2021/337/ms022,db59,10,18,25,16,208,129,194,120,156,96,ml57,8,13,14,13,220,136,205,127,166,103
2021-337-ms021-3-2-su87-ke73,vienna,/en/scores/stats-centre/archive/2021/337/ms021,su87,12,19,16,10,216,134,204,126,164,101,ke73,13,21,9,17,198,123,188,116,153,95
2021-337-ms017-3-1-td51-l987,vienna,/en/scores/stats-centre/archive/2021/337/ms017,td51,25,34,21,12,213,132,185,114,143,88,l987,9,19,16,18,204,126,185,114,152,94
2021-337-qs004-2-4-td51-mo55,vienna,/en/scores/stats-centre/archive/2021/337/qs004,td51,32,50,38,20,215,133,192,119,159,98,mo55,19,31,34,9,203,126,183,113,153,95
2021-337-qs006-2-3-a678-cf59,vienna,/en/scores/stats-centre/archive/2021/337/qs006,a678,29,47,53,29,226,140,206,128,182,113,cf59,18,20,30,10,206,128,189,117,157,97
2021-337-qs007-2-2-ml57-ke73,vienna,/en/scores/stats-centre/archive/2021/337/qs007,ml57,17,22,21,21,214,132,199,123,165,102,ke73,8,15,16,18,199,123,181,112,158,98
2021-337-qs005-2-1-p09z-gb93,vienna,/en/scores/stats-centre/archive/2021/337/qs005,p09z,9,16,28,42,214,132,199,123,173,107,gb93,19,28,30,46,213,132,198,123,162,100
2021-337-qs008-1-8-td51-mv14,vienna,/en/scores/stats-centre/archive/2021/337/qs008,td51,17,31,25,20,217,134,192,119,156,96,mv14,11,27,21,23,201,124,176,109,153,95
2021-337-qs010-1-7-gb93-gc88,vienna,/en/scores/stats-centre/archive/2021/337/qs010,gb93,16,22,32,33,214,132,198,123,160,99,gc88,7,13,6,10,201,124,187,116,152,94
2021-337-qs012-1-6-a678-r09x,vienna,/en/scores/stats-centre/archive/2021/337/qs012,a678,11,17,24,10,225,139,204,126,184,114,r09x,5,9,12,13,205,127,181,112,151,93
2021-337-qs014-1-5-ke73-bi81,vienna,/en/scores/stats-centre/archive/2021/337/qs014,ke73,10,15,29,11,201,124,177,109,162,100,bi81,8,13,20,17,194,120,177,109,152,94
2021-337-qs015-1-4-ml57-e928,vienna,/en/scores/stats-centre/archive/2021/337/qs015,ml57,12,18,30,14,215,133,198,123,160,99,e928,11,21,30,20,204,126,188,116,160,99
2021-337-qs011-1-3-p09z-l397,vienna,/en/scores/stats-centre/archive/2021/337/qs011,p09z,19,28,35,15,221,137,197,122,167,103,l397,18,20,27,29,218,135,201,124,163,101
2021-337-qs013-1-2-cf59-s0la,vienna,/en/scores/stats-centre/archive/2021/337/qs013,cf59,20,28,20,12,200,124,190,118,157,97,s0la,27,47,31,20,214,132,197,122,160,99
2021-337-qs009-1-1-mo55-g967,vienna,/en/scores/stats-centre/archive/2021/337/qs009,mo55,4,5,18,13,202,125,186,115,151,93,g967,11,22,27,31,210,130,196,121,161,100
2021-568-ms001-7-1-c977-fb98,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms001,c977,14,17,33,39,219,136,203,126,160,99,fb98,5,13,22,26,223,138,202,125,155,96
2021-568-ms003-6-2-fb98-sl28,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms003,fb98,15,18,36,20,224,139,202,125,166,103,sl28,20,31,26,24,220,136,203,126,170,105
2021-568-ms002-6-1-c977-v812,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms002,c977,8,9,20,11,218,135,200,124,157,97,v812,3,7,5,13,210,130,182,113,168,104
2021-568-ms004-5-4-v812-re44,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms004,v812,14,19,33,13,211,131,196,121,147,91,re44,9,20,22,15,209,129,192,119,134,83
2021-568-ms007-5-3-sl28-su55,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms007,sl28,13,18,13,13,221,137,202,125,167,103,su55,5,15,13,22,216,134,196,121,170,105
2021-568-ms005-5-2-c977-bd06,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms005,c977,9,15,72,26,218,135,200,124,153,95,bd06,2,5,55,9,188,116,172,106,149,92
2021-568-ms006-5-1-fb98-mh30,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms006,fb98,4,8,11,16,223,138,201,124,161,100,mh30,4,6,10,23,198,123,184,114,149,92
2021-568-ms008-4-8-re44-i305,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms008,re44,5,7,26,16,220,136,196,121,146,90,i305,8,10,15,23,212,131,197,122,157,97
2021-568-ms015-4-7-su55-a596,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms015,su55,1,2,38,8,216,134,206,128,164,101,a596,0,2,15,4,187,116,177,109,144,89
2021-568-ms010-4-6-bd06-mk66,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms010,bd06,9,10,15,11,188,116,173,107,147,91,mk66,14,26,15,20,198,123,182,113,152,94
2021-568-ms013-4-5-mh30-kc56,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms013,mh30,4,6,11,6,195,121,186,115,149,92,kc56,4,8,17,23,205,127,283,175,183,113
2021-568-ms012-4-4-fb98-pl56,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms012,fb98,7,11,23,13,220,136,201,124,161,100,pl56,14,21,24,11,220,136,200,124,158,98
2021-568-ms011-4-3-c977-ke29,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms011,c977,19,19,40,28,219,136,201,124,153,95,ke29,10,18,19,24,208,129,197,122,166,103
2021-568-ms014-4-2-sl28-bk92,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms014,sl28,17,28,19,10,223,138,207,128,159,98,bk92,5,17,24,22,221,137,208,129,169,105
2021-568-ms009-4-1-v812-k0ah,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms009,v812,12,14,32,11,214,132,191,118,144,89,k0ah,7,14,16,15,204,126,187,116,157,97
2021-568-ms024-3-12-fb98-rh24,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms024,fb98,4,4,23,17,225,139,201,124,160,99,rh24,2,3,7,23,214,132,198,123,155,96
2021-568-ms023-3-11-ke29-me82,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms023,ke29,6,8,15,15,211,131,198,123,175,108,me82,7,10,16,37,198,123,185,114,155,96
2021-568-ms028-3-10-bk92-td47,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms028,bk92,11,16,26,20,227,141,213,132,163,101,td47,4,12,11,11,219,136,193,119,157,97
2021-568-ms019-3-9-k0ah-sp80,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms019,k0ah,5,6,25,15,204,126,186,115,157,97,sp80,12,18,21,19,213,132,202,125,172,106
2021-568-ms030-3-8-a596-d874,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms030,a596,9,12,11,21,194,120,183,113,147,91,d874,4,6,13,28,196,121,178,110,158,98
2021-568-ms022-3-7-c977-r772,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms022,c977,7,8,15,21,221,137,204,126,156,96,r772,4,7,6,19,190,118,174,108,151,93
2021-568-ms017-3-6-i305-db63,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms017,i305,8,11,8,14,207,128,196,121,152,94,db63,1,5,8,21,200,124,187,116,157,97
2021-568-ms021-3-5-mk66-gc89,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms021,mk66,6,9,8,19,196,121,182,113,150,93,gc89,10,13,10,29,203,126,192,119,168,104
2021-568-ms026-3-4-mh30-o674,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms026,mh30,5,8,14,9,195,121,182,113,137,85,o674,2,6,4,19,204,126,185,114,141,87
2021-568-ms025-3-3-pl56-mo44,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms025,pl56,16,19,23,8,217,134,191,118,151,93,mo44,11,21,9,14,191,118,182,113,159,98
2021-568-ms029-3-2-sl28-d994,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms029,sl28,12,15,51,10,221,137,210,130,162,100,d994,5,11,42,10,216,134,199,123,161,100
2021-568-ms018-3-1-v812-n732,st-petersburg,/en/scores/stats-centre/archive/2021/568/ms018,v812,12,16,21,17,213,132,189,117,148,91,n732,10,19,10,16,187,116,164,101,136,84
2021-568-qs004-2-4-v812-d864,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs004,v812,8,9,42,11,212,131,195,121,148,91,d864,12,18,38,20,198,123,188,116,157,97
2021-568-qs007-2-3-n732-ki95,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs007,n732,10,15,51,7,193,119,163,101,137,85,ki95,8,16,53,12,199,123,183,113,164,101
2021-568-qs005-2-2-rh24-pg20,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs005,rh24,6,11,55,22,211,131,193,119,149,92,pg20,5,7,42,19,209,129,197,122,152,94
2021-568-qs006-2-1-gc89-a829,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs006,gc89,10,17,36,14,201,124,190,118,169,105,a829,5,10,24,20,197,122,172,106,148,91
2021-568-qs008-1-8-v812-pg94,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs008,v812,11,17,14,17,211,131,179,111,132,82,pg94,6,10,5,19,192,119,203,126,147,91
2021-568-qs010-1-7-pg20-bm95,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs010,pg20,7,11,24,32,212,131,228,141,168,104,bm95,16,22,27,41,208,129,184,114,151,93
2021-568-qs012-1-6-a829-ce77,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs012,a829,17,27,25,25,191,118,173,107,143,88,ce77,5,11,15,30,196,121,175,108,145,90
2021-568-qs014-1-5-ki95-kd87,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs014,ki95,10,16,19,17,201,124,181,112,156,96,kd87,18,27,24,34,202,125,193,119,137,85
2021-568-qs011-1-4-rh24-sd32,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs011,rh24,10,11,12,18,207,128,226,140,124,77,sd32,2,5,10,25,197,122,166,103,125,77
2021-568-qs015-1-3-n732-sx50,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs015,n732,10,13,14,8,201,124,191,118,114,70,sx50,8,19,16,25,211,131,175,108,177,109
2021-568-qs009-1-2-d864-y268,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs009,d864,9,12,19,20,200,124,182,113,127,78,y268,6,9,9,23,193,119,222,137,112,69
2021-568-qs013-1-1-gc89-d923,st-petersburg,/en/scores/stats-centre/archive/2021/568/qs013,gc89,10,25,15,18,201,124,226,140,162,100,d923,11,16,12,22,182,113,157,97,140,86
2021-352-ms001-8-1-d643-mm58,paris,/en/scores/stats-centre/archive/2021/352/ms001,d643,25,33,37,31,205,127,192,119,143,88,mm58,7,11,31,21,211,131,197,122,146,90
2021-352-ms002-7-2-d643-hb71,paris,/en/scores/stats-centre/archive/2021/352/ms002,d643,10,21,22,21,204,126,187,116,148,91,hb71,20,26,33,27,225,139,203,126,157,97
2021-352-ms003-7-1-mm58-z355,paris,/en/scores/stats-centre/archive/2021/352/ms003,mm58,7,9,10,8,214,132,202,125,141,87,z355,10,18,17,26,220,136,200,124,153,95
2021-352-ms004-6-4-d643-fb98,paris,/en/scores/stats-centre/archive/2021/352/ms004,d643,7,8,19,16,203,126,191,118,149,92,fb98,4,6,14,22,218,135,200,124,163,101
2021-352-ms007-6-3-mm58-g09o,paris,/en/scores/stats-centre/archive/2021/352/ms007,mm58,17,25,31,28,211,131,197,122,158,98,g09o,12,22,19,16,190,118,166,103,137,85
2021-352-ms006-6-2-z355-rh16,paris,/en/scores/stats-centre/archive/2021/352/ms006,z355,20,20,33,15,219,136,208,129,154,95,rh16,8,11,19,5,208,129,192,119,157,97
2021-352-ms005-6-1-hb71-d994,paris,/en/scores/stats-centre/archive/2021/352/ms005,hb71,19,32,38,21,224,139,207,128,158,98,d994,21,34,25,30,214,132,193,119,154,95
2021-352-ms015-5-7-mm58-k0ah,paris,/en/scores/stats-centre/archive/2021/352/ms015,mm58,10,18,17,16,206,128,188,116,163,101,k0ah,16,23,23,38,208,129,192,119,156,96
2021-352-ms013-5-6-z355-d875,paris,/en/scores/stats-centre/archive/2021/352/ms013,z355,14,21,38,24,226,140,210,130,154,95,d875,19,23,25,29,217,134,197,122,148,91
2021-352-ms012-5-5-rh16-gc88,paris,/en/scores/stats-centre/archive/2021/352/ms012,rh16,9,12,24,18,212,131,195,121,155,96,gc88,9,15,5,11,199,123,175,108,140,86
2021-352-ms011-5-4-hb71-ke73,paris,/en/scores/stats-centre/archive/2021/352/ms011,hb71,19,26,38,26,224,139,201,124,156,96,ke73,12,22,28,27,192,119,177,109,157,97
2021-352-ms009-5-3-fb98-n771,paris,/en/scores/stats-centre/archive/2021/352/ms009,fb98,7,9,26,26,223,138,202,125,156,96,n771,11,13,17,22,196,121,173,107,142,88
2021-352-ms010-5-2-d994-p09z,paris,/en/scores/stats-centre/archive/2021/352/ms010,d994,15,29,20,12,212,131,193,119,161,100,p09z,13,30,23,27,214,132,200,124,172,106
2021-352-ms014-5-1-g09o-a0e2,paris,/en/scores/stats-centre/archive/2021/352/ms014,g09o,10,15,13,14,194,120,174,108,141,87,a0e2,14,31,14,27,218,135,194,120,158,98
2021-352-ms016-4-16-d643-f724,paris,/en/scores/stats-centre/archive/2021/352/ms016,d643,21,29,20,21,203,126,188,116,145,90,f724,13,15,22,29,201,124,190,118,158,98
2021-352-ms031-4-15-mm58-i305,paris,/en/scores/stats-centre/archive/2021/352/ms031,mm58,7,9,20,24,213,132,196,121,151,93,i305,14,22,14,23,211,131,191,118,150,93
2021-352-ms020-4-14-p09z-te51,paris,/en/scores/stats-centre/archive/2021/352/ms020,p09z,6,8,14,3,211,131,198,123,159,98,te51,4,5,7,1,214,132,199,123,161,100
2021-352-ms027-4-13-z355-l987,paris,/en/scores/stats-centre/archive/2021/352/ms027,z355,15,27,28,22,224,139,208,129,166,103,l987,6,7,19,22,205,127,190,118,150,93
2021-352-ms019-4-12-fb98-re44,paris,/en/scores/stats-centre/archive/2021/352/ms019,fb98,4,7,27,17,223,138,201,124,166,103,re44,7,9,18,17,214,132,208,129,143,88
2021-352-ms024-4-11-rh16-bk92,paris,/en/scores/stats-centre/archive/2021/352/ms024,rh16,12,19,15,8,210,130,192,119,164,101,bk92,10,19,24,31,223,138,220,136,148,91
2021-352-ms023-4-10-hb71-pl56,paris,/en/scores/stats-centre/archive/2021/352/ms023,hb71,7,16,29,19,229,142,206,128,161,100,pl56,11,21,19,28,216,134,190,118,152,94
2021-352-ms028-4-9-a0e2-s0ag,paris,/en/scores/stats-centre/archive/2021/352/ms028,a0e2,12,16,24,26,217,134,194,120,154,95,s0ag,10,26,13,28,206,128,192,119,155,96
