g415,Fernando,Gonzalez,CHI,1980.07.29,1980,7,29,1999,82,180,183,72,"Santiago, Chile"
n025,Karel,Novacek,CZE,1965.03.30,1965,3,30,1984,82,180,191,75,"Prostejov, Czech Republic"
c378,Albert,Costa,ESP,1975.06.25,1975,6,25,1993,78,172,180,71,"Lerida, Spain"
m039,Sandy,Mayer,USA,1952.04.05,1952,4,5,,70,155,178,70,"Flushing, NY"
r073,Tony,Roche,AUS,1945.05.17,1945,5,17,,79,175,178,70,"Wagga Wagga, Australia"
m041,Tim,Mayotte,USA,1960.08.03,1960,8,3,,84,185,191,75,"Springfield, MA"
r419,Tommy,Robredo,ESP,1982.05.01,1982,5,1,1998,75,165,180,71,"Hostalric, Spain"
re44,Andrey,Rublev,,1997.10.20,1997,10,20,2014,75,165,188,74,"Moscow, Russia"
j004,Martin,Jaite,ARG,1964.10.09,1964,10,9,1983,70,155,178,70,"Buenos Aires, Argentina"
n250,Magnus,Norman,SWE,1976.05.30,1976,5,30,1995,89,196,188,74,"Filipstad, Sweden"
c090,Mark,Cox,GBR,1943.07.05,1943,7,5,,,,,,"Leicester, England"
f035,Guy,Forget,FRA,1965.01.04,1965,1,4,1982,80,177,191,75,"Casablanca, Morocco"
r255,Patrick,Rafter,AUS,1972.12.28,1972,12,28,1991,86,190,185,73,"Mount Isa, QSLD, Australia"
h336,Tim,Henman,GBR,1974.09.06,1974,9,6,1993,77,170,185,73,"Oxford, England"
k023,Aaron,Krickstein,USA,1967.08.02,1967,8,2,1983,73,160,183,72,"Ann Arbor, MI"
bd06,Roberto,Bautista Agut,ESP,1988.04.14,1988,4,14,2005,75,165,183,72,"Castellon de la Plana, Spain"
p338,Mark,Philippoussis,AUS,1976.11.07,1976,11,7,1994,103,226,196,77,"Melbourne, Victoria, Australia"
n301,David,Nalbandian,ARG,1982.01.01,1982,1,1,2000,79,175,180,71,"Cordoba, Argentina"
m475,Andrei,Medvedev,UKR,1974.08.31,1974,8,31,1991,91,200,193,76,"Kiev, Ukraine"
p015,Victor,Pecci,PAR,1955.10.15,1955,10,15,,86,190,193,76,"Asuncion, Paraguay"
m052,Miloslav,Mecir Sr.,SVK,1964.05.19,1964,5,19,,82,180,191,75,"Bojnice, Slovak Republic"
k148,Petr,Korda,CZE,1968.01.23,1968,1,23,1987,86,189,191,75,"Prague, Czech Republic"
mc65,Gael,Monfils,FRA,1986.09.01,1986,9,1,2004,85,187,193,76,"Paris, France"
p059,Adriano,Panatta,ITA,1950.07.09,1950,7,9,,,,183,72,"Rome, Italy"
l360,Ivan,Ljubicic,CRO,1979.03.19,1979,3,19,1998,92,202,193,76,"Banja Luka, Bosnia-Herzegovina"
sa49,Robin,Soderling,SWE,1984.08.14,1984,8,14,2001,87,192,193,76,"Tibro, Sweden"
l014,Henri,Leconte,FRA,1963.07.04,1963,7,4,1980,79,175,185,73,"Lillers, France"
te54,Bill,Tilden,USA,1893.02.10,1893,2,10,,,,,,"Philadelphia, PA, USA"
m535,Felix,Mantilla,ESP,1974.09.23,1974,9,23,1993,78,172,180,71,"Barcelona, Spain"
t012,Eliot,Teltscher,USA,1959.03.15,1959,3,15,1977,68,150,178,70,"Palos Verdes, CA, USA"
c524,Guillermo,Coria,ARG,1982.01.13,1982,1,13,2000,69,152,175,69,"Rufino, Argentina"
q927,Sam,Querrey,USA,1987.10.07,1987,10,7,2006,95,209,198,78,"San Francisco, CA, USA"
f074,Zeljko,Franulovic,CRO,1947.06.13,1947,6,13,1969,,,,,"Split, Croatia"
l045,Robert,Lutz,USA,1947.08.29,1947,8,29,,82,180,180,71,"Lancaster, PA"
ma21,Juan,Monaco,ARG,1984.03.29,1984,3,29,2002,81,179,185,73,"Tandil, Argentina"
b676,James,Blake,USA,1979.12.28,1979,12,28,1999,83,183,185,73,"Yonkers, New York, USA"
te51,Stefanos,Tsitsipas,GRE,1998.08.12,1998,8,12,2016,90,198,193,76,"Athens, Greece"
c019,Kent,Carlsson,SWE,1968.01.03,1968,1,3,,72,158,180,71,"Eskilstuna, Sweden"
