year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1971,"Indianapolis, Indiana, U.S.A.",16.08.1971,GP,Outdoor: Clay,Draw: 64,,,$,R32,Patricio Cornejo (CHI),N/A,"L 3-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=419&y=1971&r=3&p=C044,Indianapolis,R32,0,Patricio Cornejo,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Patricio Cornejo,Chile,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Cincinnati, OH, U.S.A.",02.08.1971,GP,Outdoor: Clay,Draw: 64,,,$,R64,John Cooper (AUS),N/A,"W 6-7, 7-6, 6-3",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=1971&r=2&p=C044,Cincinnati,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,John Cooper,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Cincinnati, OH, U.S.A.",02.08.1971,GP,Outdoor: Clay,Draw: 64,,,$,R32,Erik Van Dillen (USA),N/A,"L 4-6, 6-7",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=1971&r=3&p=C044,Cincinnati,R32,0,Erik Van Dillen,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Erik Van Dillen,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Columbus, Grove City, OH, USA",01.08.1971,GP,Outdoor: Hard,Draw: 32,,,$,R32,Brian Cheney (USA),N/A,"W 6-3, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=343&y=1971&r=3&p=C044,Columbus,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Brian Cheney,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Columbus, Grove City, OH, USA",01.08.1971,GP,Outdoor: Hard,Draw: 32,,,$,R16,Roscoe Tanner (USA),N/A,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=343&y=1971&r=4&p=C044,Columbus,R16,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Roscoe Tanner,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Columbus, Grove City, OH, USA",01.08.1971,GP,Outdoor: Hard,Draw: 32,,,$,Q,Haroon Rahim (PAK),N/A,"W 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=343&y=1971&r=5&p=C044,Columbus,Q,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Haroon Rahim,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Columbus, Grove City, OH, USA",01.08.1971,GP,Outdoor: Hard,Draw: 32,,,$,S,Erik Van Dillen (USA),N/A,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=343&y=1971&r=6&p=C044,Columbus,S,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Erik Van Dillen,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Columbus, Grove City, OH, USA",01.08.1971,GP,Outdoor: Hard,Draw: 32,,,$,F,Tom Gorman (USA),N/A,"L 7-6, 6-7, 6-4, 6-7, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=343&y=1971&r=7&p=C044,Columbus,F,0,Tom Gorman,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Tom Gorman,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Tanglewood, Clemmons, NC, USA",24.07.1971,GP,Outdoor: Hard,Draw: 64,,,$,R64,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2051&y=1971&r=2&p=C044,Tanglewood,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Tanglewood, Clemmons, NC, USA",24.07.1971,GP,Outdoor: Hard,Draw: 64,,,$,R32,Jim Osborne (USA),N/A,"W 7-5, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2051&y=1971&r=3&p=C044,Tanglewood,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jim Osborne,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Tanglewood, Clemmons, NC, USA",24.07.1971,GP,Outdoor: Hard,Draw: 64,,,$,R16,Frank Froehling (USA),N/A,"W 6-1, 4-6, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2051&y=1971&r=4&p=C044,Tanglewood,R16,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Frank Froehling,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Tanglewood, Clemmons, NC, USA",24.07.1971,GP,Outdoor: Hard,Draw: 64,,,$,Q,Mike Belkin (CAN),N/A,"L 1-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2051&y=1971&r=5&p=C044,Tanglewood,Q,0,Mike Belkin,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Mike Belkin,Canada,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Washington WTC, DC, U.S.A.",17.07.1971,GP,Outdoor: Clay,Draw: 64,,,$,R64,Jeff Borowiak (USA),N/A,"L 3-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=1971&r=2&p=C044,Washington WTC,R64,0,Jeff Borowiak,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Jeff Borowiak,United States,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Wimbledon, England",21.06.1971,GS,Outdoor: Grass,Draw: 128,,,$,R128,Bob Carmichael (AUS),N/A,L  W/O,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=540&y=1971&r=1&p=C044,Wimbledon,R128,0,Bob Carmichael,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Bob Carmichael,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Macon, GA, USA",01.03.1971,GP,Outdoor: Hard,Draw: 64,,,$,R64,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2066&y=1971&r=2&p=C044,Macon,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Macon, GA, USA",01.03.1971,GP,Outdoor: Hard,Draw: 64,,,$,R32,Byron Bertram (RSA),N/A,"W 6-3, 3-6, 7-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2066&y=1971&r=3&p=C044,Macon,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Byron Bertram,South Africa,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Macon, GA, USA",01.03.1971,GP,Outdoor: Hard,Draw: 64,,,$,R16,Thomaz Koch (BRA),N/A,"L 7-5, 1-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2066&y=1971&r=4&p=C044,Macon,R16,0,Thomaz Koch,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Thomaz Koch,Brazil,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Salisbury, MD, U.S.A.",21.02.1971,GP,Indoor: Hard,Draw: 64,,,$,R64,Hans Kary (AUT),N/A,"W 6-4, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=355&y=1971&r=2&p=C044,Salisbury,R64,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Hans Kary,Austria,,,,,,,,,,,,,,,,,,,,,,,,
1971,"Salisbury, MD, U.S.A.",21.02.1971,GP,Indoor: Hard,Draw: 64,,,$,R32,Ilie Nastase (ROU),N/A,"L 7-5, 4-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=355&y=1971&r=3&p=C044,Salisbury,R32,0,Ilie Nastase,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,
1971,"New York, NY, U.S.A.",14.02.1971,GP,Indoor: ,Draw: 32,,,$,R32,Ingo Buding (GER),N/A,"W 4-6, 6-1, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=2058&y=1971&r=3&p=C044,New York,R32,0,Jimmy Connors,Jimmy Connors,United States,,,,,,,,,,,,,,,,,,,,,,,,,Ingo Buding,Germany,,,,,,,,,,,,,,,,,,,,,,,,
