year,tournament,start date,type,surface,draw,atp points,atp ranking,tournament prize money,round,opponent,ranking,score,stats link,tournament,tournament round,time,winner,player1 name,player1 nationality,player1 aces,player1 double faults,player1 1st serves in,player1 1st serves total,player1 1st serve points won,player1 1st serve points total,player1 2nd serve points won,player1 2nd serve points total,player1 break points won,player1 break points total,player1 service games played,player1 1st serve return points won,player1 1st serve return points total,player1 2nd serve return points won,player1 2nd serve return points total,player1 break points converted won,player1 break points converted total,player1 return games played,player1 total service points won,player1 total service points total,player1 total return points won,player1 total return points total,player1 total points won,player1 total points total,player2 name,player2 nationality,player2 aces,player2 double faults,player2 1st serves in,player2 1st serves total,player2 1st serve points won,player2 1st serve points total,player2 2nd serve points won,player2 2nd serve points total,player2 break points won,player2 break points total,player2 service games played,player2 1st serve return points won,player2 1st serve return points total,player2 2nd serve return points won,player2 2nd serve return points total,player2 break points converted won,player2 break points converted total,player2 return games played,player2 total service points won,player2 total service points total,player2 total return points won,player2 total return points total,player2 total points won,player2 total points total
1969,"Rome, Italy",21.05.1969,GP,Outdoor: Clay,Draw: 128,,,$,R128,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=1969&r=1&p=N008,Rome,R128,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Rome, Italy",21.05.1969,GP,Outdoor: Clay,Draw: 128,,,$,R64,Eric Drossart (BEL),N/A,"W 6-4, 7-5",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=1969&r=2&p=N008,Rome,R64,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Eric Drossart,Belgium,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Rome, Italy",21.05.1969,GP,Outdoor: Clay,Draw: 128,,,$,R32,Patrice Beust (FRA),N/A,"W 6-2, 6-1, 8-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=1969&r=3&p=N008,Rome,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Patrice Beust,France,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Rome, Italy",21.05.1969,GP,Outdoor: Clay,Draw: 128,,,$,R16,Tony Roche (AUS),N/A,"L 5-7, 5-7, 3-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=1969&r=4&p=N008,Rome,R16,0,Tony Roche,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Tony Roche,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1969,"Philadelphia WCT, PA, U.S.A.",05.02.1969,GP,Indoor: Carpet,Draw: 32,,,$,R32,Ken Rosewall (AUS),N/A,"L 1-6, 4-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=401&y=1969&r=3&p=N008,Philadelphia WCT,R32,0,Ken Rosewall,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Ken Rosewall,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Wembley, London",16.11.1970,GP,Indoor: Carpet,Draw: 32,,,$,R32,Dick Crealy (AUS),N/A,"W 6-4, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=430&y=1970&r=3&p=N008,Wembley,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Dick Crealy,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Wembley, London",16.11.1970,GP,Indoor: Carpet,Draw: 32,,,$,R16,Tom Gorman (USA),N/A,"W 6-8, 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=430&y=1970&r=4&p=N008,Wembley,R16,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Tom Gorman,United States,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Wembley, London",16.11.1970,GP,Indoor: Carpet,Draw: 32,,,$,Q,Rod Laver (AUS),N/A,"L 1-6, 2-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=430&y=1970&r=5&p=N008,Wembley,Q,0,Rod Laver,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Rod Laver,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Stockholm Open, Sweden",01.11.1970,GP,Indoor: Hard,Draw: 32,,,$,R32,Per Jemsby (SWE),N/A,"W 6-2, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1970&r=3&p=N008,Stockholm Open,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Per Jemsby,Sweden,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Stockholm Open, Sweden",01.11.1970,GP,Indoor: Hard,Draw: 32,,,$,R16,Dennis Ralston (USA),N/A,"L 7-5, 3-6, 0-6",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=429&y=1970&r=4&p=N008,Stockholm Open,R16,0,Dennis Ralston,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Ralston,United States,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Hamburg, Germany",17.08.1970,GP,Outdoor: Clay,Draw: 64,,,$,R64,Bye,N/A,W ,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1970&r=2&p=N008,Hamburg,R64,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,N/A Bye,,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Hamburg, Germany",17.08.1970,GP,Outdoor: Clay,Draw: 64,,,$,R32,Jiri Hrebec (CZE),N/A,"W 6-2, 6-0, 6-1",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1970&r=3&p=N008,Hamburg,R32,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Jiri Hrebec,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Hamburg, Germany",17.08.1970,GP,Outdoor: Clay,Draw: 64,,,$,R16,Istvan Gulyas (HUN),N/A,"W 6-3, 6-4, 1-6, 10-8",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1970&r=4&p=N008,Hamburg,R16,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Istvan Gulyas,Hungary,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Hamburg, Germany",17.08.1970,GP,Outdoor: Clay,Draw: 64,,,$,Q,Zeljko Franulovic (CRO),N/A,"W 8-10, 4-6, 7-5, 6-3, 6-2",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1970&r=5&p=N008,Hamburg,Q,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Zeljko Franulovic,Croatia,,,,,,,,,,,,,,,,,,,,,,,,
1970,"Hamburg, Germany",17.08.1970,GP,Outdoor: Clay,Draw: 64,,,$,S,Tony Roche (AUS),N/A,"W 3-6, 7-5, 6-1, 6-4",http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=414&y=1970&r=6&p=N008,Hamburg,S,0,Ilie Nastase,Ilie Nastase,Romania,,,,,,,,,,,,,,,,,,,,,,,,,Tony Roche,Australia,,,,,,,,,,,,,,,,,,,,,,,,
