1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,12,A.T. Myers,mu63,at-myers,A. Hadow,hg51,a-hadow,,,61 06 64 16 62,3,2,19,19,0,0,1878-540-mu63-hg51,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,13,F. Porter,pl22,f-porter,S. Montgomerie,mu61,s-montgomerie,,,56 65 36 62 61,3,2,26,20,0,0,1878-540-pl22-mu61,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,14,E. Brackenbury,bt06,e-brackenbury,G. James,j703,g-james,,,61 26 60 60,3,1,20,7,0,0,1878-540-bt06-j703,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,15,A. Brown,bt07,a-brown,F. Ashley,af57,f-ashley,,,60 60 60,3,0,18,0,0,0,1878-540-bt07-af57,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,16,R. Dalby,dg31,r-dalby,B. Smith,sx14,b-smith,,,62 63 63,3,0,18,8,0,0,1878-540-dg31-sx14,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,17,L. Erskine,e994,l-erskine,A. Nicholson,n912,a-nicholson,,,61 61 63,3,0,18,5,0,0,1878-540-e994-n912,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,18,Capt Grimston,gi90,capt-grimston,J. Cunningham,cm55,j-cunningham,,,63 62 60,3,0,18,5,0,0,1878-540-gi90-cm55,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,19,Frank Hadow,hg50,frank-hadow,F. Oliver,o628,f-oliver,,,62 61 63,3,0,18,6,0,0,1878-540-hg50-o628,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,20,A. Hadow,hg51,a-hadow,C. Ewbank,e995,c-ewbank,,,56 61 61 62,3,1,23,10,0,0,1878-540-hg51-e995,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,21,C. Hamilton,hg49,c-hamilton,F. Pollock,pl17,f-pollock,,,61 61 63,3,0,18,5,0,0,1878-540-hg49-pl17,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,22,C. Heathcote,hg42,c-heathcote,H. Wheeler,wa67,h-wheeler,,,64 62 60,3,0,18,6,0,0,1878-540-hg42-wa67,
1878-540,1,wimbledon,/en/scores/archive/wimbledon/540/1878/results,Round Robin,4,23,Herbert Lawford,lg94,herbert-lawford,A. Keyser,kh60,a-keyser,,,(W/O),0,0,0,0,0,0,1878-540-lg94-kh60,
