tourney_year,tourney_name,tourney_name_slug,tourney_id,tourney_location,tourney_dates,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,player_name,player_slug,player_id,player_event_points,player_ranking,match_round,opponent_name,opponent_name_slug,opponent_player_id,opponent_rank,match_win_loss,match_score,sets_won,sets_lost,sets_total,games_won,games_lost,games_total,tiebreaks_won,tiebreaks_lost,tiebreaks_total,match_time,match_duration,player_aces,player_double_faults,player_first_serves_in,player_first_serves_total,player_first_serve_percentage,player_first_serve_points_won,player_first_serve_points_total,player_first_serve_points_won_percentage,player_second_serve_points_won,player_second_serve_points_total,player_second_serve_points_won_percentage,player_break_points_saved,player_break_points_serve_total,player_break_points_saved_percentage,player_service_points_won,player_service_points_total,player_service_points_won_percentage,player_first_serve_return_won,player_first_serve_return_total,player_first_serve_return_percentage,player_second_serve_return_won,player_second_serve_return_total,player_second_serve_return_won_percentage,player_break_points_converted,player_break_points_return_total,player_break_points_converted_percentage,player_service_games_played,player_return_games_played,player_return_points_won,player_return_points_total,player_total_points_won,player_total_points_total,player_total_points_won_percentage,opponent_aces,opponent_double_faults,opponent_first_serves_in,opponent_first_serves_total,opponent_first_serve_percentage,opponent_first_serve_points_won,opponent_first_serve_points_total,opponent_first_serve_points_won_percentage,opponent_second_serve_points_won,opponent_second_serve_points_total,opponent_second_serve_points_won_percentage,opponent_break_points_saved,opponent_break_points_serve_total,opponent_break_points_saved_percentage,opponent_service_points_won,opponent_service_points_total,opponent_service_points_won_percentage,opponent_first_serve_return_won,opponent_first_serve_return_total,opponent_first_serve_return_percentage,opponent_second_serve_return_won,opponent_second_serve_return_total,opponent_second_serve_return_won_percentage,opponent_break_points_converted,opponent_break_points_return_total,opponent_break_points_converted_percentage,opponent_service_games_played,opponent_return_games_played,opponent_return_points_won,opponent_return_points_total,opponent_total_points_won,opponent_total_points_total,opponent_total_points_won_percentage
2013,ATP World Tour Masters 1000 Cincinnati,cincinnati,422,"Cincinnati, OH, U.S.A.",2013.08.12 - 2013.08.18,56,24,Outdoor,Hard,Roger Federer,roger-federer,f324,180,5,Round of 16,Tommy Haas,tommy-haas,h355,13,W,16 75 63,2,1,3,14,14,28,,,,01:53:00,113,10,4,66,100,66,47,66,71,14,34,41,6,9,67,61,100,61,20,61,33,16,32,50,3,12,25,14,14,36,93,97,193,50,10,4,61,93,66,41,61,67,16,32,50,9,12,75,57,93,61,19,66,29,20,34,59,3,9,33,14,14,39,100,96,193,50
2013,ATP World Tour Masters 1000 Cincinnati,cincinnati,422,"Cincinnati, OH, U.S.A.",2013.08.12 - 2013.08.18,56,24,Outdoor,Hard,Roger Federer,roger-federer,f324,180,5,Round of 32,Philipp Kohlschreiber,philipp-kohlschreiber,k435,26,W,63 76(7) ,2,0,2,13,9,22,1,0,1,01:27:00,87,8,1,38,62,61,33,38,87,15,24,63,0,1,0,48,62,77,12,43,28,22,42,52,2,11,18,11,10,34,85,82,147,56,5,4,43,85,51,31,43,72,20,42,48,9,11,82,51,85,60,5,38,13,9,24,38,1,1,100,10,11,14,62,65,147,44
2013,Gstaad,gstaad,314,"Gstaad, Switzerland",2013.07.22 - 2013.07.28,28,16,Outdoor,Clay,Roger Federer,roger-federer,f324,0,5,Round of 16,Daniel Brands,daniel-brands,bc72,55,L,36 46,0,2,2,7,12,19,,,,01:06:00,66,8,1,30,57,53,22,30,73,14,27,52,4,6,67,36,57,63,13,52,25,8,15,53,0,5,0,9,10,21,67,57,124,46,11,2,52,67,78,39,52,75,7,15,47,5,5,100,46,67,69,8,30,27,13,27,48,2,6,33,10,9,21,57,67,124,54
2013,Hamburg,hamburg,414,"Hamburg, Germany",2013.07.15 - 2013.07.21,48,16,Outdoor,Clay,Roger Federer,roger-federer,f324,180,5,Semi-Finals,Federico Delbonis,federico-delbonis,d874,114,L,67(7) 67(4) ,0,2,2,12,14,26,0,2,2,01:53:00,113,5,2,56,97,58,44,56,79,22,41,54,6,7,86,66,97,68,8,45,18,11,35,31,1,2,50,12,12,19,80,85,177,48,3,2,45,80,56,37,45,82,24,35,69,1,2,50,61,80,76,12,56,21,19,41,46,1,7,14,12,12,31,97,92,177,52
2013,Hamburg,hamburg,414,"Hamburg, Germany",2013.07.15 - 2013.07.21,48,16,Outdoor,Clay,Roger Federer,roger-federer,f324,180,5,Quarter-Finals,Florian Mayer,florian-mayer,mb02,45,W,76(4) 36 75,2,1,3,17,17,34,1,0,1,02:00:00,120,2,3,63,107,59,46,63,73,20,44,45,4,9,44,66,107,62,22,56,39,17,42,40,4,10,40,17,16,39,98,105,205,51,6,1,56,98,57,34,56,61,25,42,60,6,10,60,59,98,60,17,63,27,24,44,55,5,9,56,16,17,41,107,100,205,49
2013,Hamburg,hamburg,414,"Hamburg, Germany",2013.07.15 - 2013.07.21,48,16,Outdoor,Clay,Roger Federer,roger-federer,f324,180,5,Round of 16,Jan Hajek,jan-hajek,h571,140,W,64 63,2,0,2,12,7,19,,,,01:12:00,72,7,1,30,58,52,21,30,70,20,28,71,3,4,75,41,58,71,19,43,44,12,25,48,3,13,23,10,9,31,68,72,126,57,2,0,43,68,63,24,43,56,13,25,52,10,13,77,37,68,54,9,30,30,8,28,29,1,4,25,9,10,17,58,54,126,43
2013,Hamburg,hamburg,414,"Hamburg, Germany",2013.07.15 - 2013.07.21,48,16,Outdoor,Clay,Roger Federer,roger-federer,f324,180,5,Round of 32,Daniel Brands,daniel-brands,bc72,58,W,36 63 62,2,1,3,15,11,26,,,,01:26:00,86,9,2,42,70,60,35,42,83,17,28,61,1,2,50,52,70,74,21,52,40,13,29,45,3,6,50,13,13,34,81,86,151,57,5,4,52,81,64,31,52,60,16,29,55,3,6,50,47,81,58,7,42,17,11,28,39,1,2,50,13,13,18,70,65,151,43
2013,Wimbledon,wimbledon,540,"London, Great Britain",2013.06.24 - 2013.07.07,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,45,3,Round of 64,Sergiy Stakhovsky,sergiy-stakhovsky,sc77,116,L,76(5) 67(5) 57 67(5) ,1,3,4,24,27,51,1,2,3,03:00:00,180,16,1,114,158,72,91,114,80,24,44,55,5,7,71,115,158,73,26,109,24,20,56,36,1,8,13,24,24,46,165,161,323,50,17,2,109,165,66,83,109,76,36,56,64,7,8,88,119,165,72,23,114,20,20,44,45,2,7,29,24,24,43,158,162,323,50
2013,Wimbledon,wimbledon,540,"London, Great Britain",2013.06.24 - 2013.07.07,128,64,Outdoor,Grass,Roger Federer,roger-federer,f324,45,3,Round of 128,Victor Hanescu,victor-hanescu,h528,48,W,63 62 60,3,0,3,18,5,23,,,,01:09:00,69,7,0,39,56,70,35,39,90,14,17,82,0,0,0,49,56,88,26,52,50,6,9,67,6,8,75,12,11,32,61,81,117,69,3,1,52,61,85,26,52,50,3,9,33,2,8,25,29,61,48,4,39,10,3,17,18,0,0,0,11,12,7,56,36,117,31
2013,Halle,halle,500,"Halle, Germany",2013.06.10 - 2013.06.16,28,16,Outdoor,Grass,Roger Federer,roger-federer,f324,250,3,Finals,Mikhail Youzhny,mikhail-youzhny,y061,29,W,67(5) 63 64,2,1,3,18,14,32,0,1,1,02:03:00,123,11,1,64,97,66,51,64,80,22,33,67,2,2,100,73,97,75,17,59,29,16,37,43,2,9,22,16,15,33,96,106,193,55,3,3,59,96,61,42,59,71,21,37,57,7,9,78,63,96,66,13,64,20,11,33,33,0,2,0,15,16,24,97,87,193,45
