1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,3,Tony Roche,r073,tony-roche,John Brown,b227,john-brown,5,,63 62 63,3,0,18,8,0,0,1967-580-1-25-r073-b227,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,4,Mark Cox,c090,mark-cox,John Cooper,c171,john-cooper,6,,63 75 63,3,0,19,11,0,0,1967-580-1-24-c090-c171,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,5,Owen Davidson,d054,owen-davidson,Ian Bidmeade,b254,ian-bidmeade,7,,61 62 63,3,0,18,6,0,0,1967-580-1-23-d054-b254,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,6,Graham Stilwell,s147,graham-stilwell,F. Bartlett,bn44,f.-bartlett,8,,64 64 62,3,0,18,10,0,0,1967-580-1-22-s147-bn44,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,7,Bill Bowrey,b224,bill-bowrey,B. White,w127,b.-white,9,,64 63 46 62,3,1,22,15,0,0,1967-580-1-21-b224-w127,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,8,Jim McManus,m144,jim-mcmanus,Eugene Russo,re04,eugene-russo,10,,60 61 63,3,0,18,4,0,0,1967-580-1-20-m144-re04,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,9,Ray Ruffels,r076,ray-ruffels,Peter McCumstie,m195,peter-mccumstie,11,,61 97 64,3,0,21,12,0,0,1967-580-1-19-r076-m195,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,10,Patrick Hombergen,h127,patrick-hombergen,Budiman Aznar,ad20,budiman-aznar,12,,16 63 61 63,3,1,19,13,0,0,1967-580-1-18-h127-ad20,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,11,Barry Phillips-Moore,p078,barry-phillips-moore,Michael Kenny,k108,michael-kenny,13,,64 62 63,3,0,18,9,0,0,1967-580-1-17-p078-k108,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,12,Jim Osborne,o046,jim-osborne,Ross Sherriff,s299,ross-sherriff,14,,62 63 75,3,0,19,10,0,0,1967-580-1-16-o046-s299,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,13,William Coghlan,c228,william-coghlan,Sven Ginman,g147,sven-ginman,15,,60 62 26 26 60,3,2,22,14,0,0,1967-580-1-15-c228-g147,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,14,Dave Power,p195,dave-power,Geoffrey Pares,p194,geoffrey-pares,16,,46 63 64 64,3,1,22,17,0,0,1967-580-1-14-p195-p194,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,15,Terry Addison,a056,terry-addison,Barry McMillan,mp92,barry-mcmillan,,,36 62 64 57 64,3,2,26,23,0,0,1967-580-1-13-a056-mp92,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,16,Kenneth Andersson,a450,kenneth-andersson,Geoff Masters,m139,geoff-masters,,,97 61 62,3,0,21,10,0,0,1967-580-1-12-a450-m139,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,17,John Blizzard,b206,john-blizzard,Brian Bowman,b221,brian-bowman,,,63 64 36 86,3,1,23,19,0,0,1967-580-1-11-b206-b221,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,18,John Cottrill,c197,john-cottrill,Doug Smith,s334,doug-smith,,,63 108 86,3,0,24,17,0,0,1967-580-1-10-c197-s334,
1967-580,1,australian-championships,/en/scores/archive/australian-championships/580/1967/results,Round of 64,6,19,Dick Crealy,c093,dick-crealy,Birger Folke,f166,birger-folke,,,68 64 64 36 62,3,2,27,24,0,0,1967-580-1-9-c093-f166,
