1991-354-MS020-1-14-f164-h228,wellington,/en/scores/1991/354/MS020/match-stats?isLive=False,01:26:00,86,f164,246,3,2,36,60,25,36,11,24,5,8,10,214,23,40,13,26,6,13,10,36,60,36,66,72,126,h228,195,2,1,40,66,17,40,13,26,7,13,10,153,11,36,13,24,3,8,10,30,66,24,60,54,126
1991-354-MS027-1-13-h029-n025,wellington,/en/scores/1991/354/MS027/match-stats?isLive=False,01:53:00,113,h029,261,3,4,58,84,39,58,13,26,8,11,13,147,15,56,15,27,3,7,14,52,84,30,83,82,167,n025,265,4,1,56,83,41,56,12,27,4,7,14,133,19,58,13,26,3,11,13,53,83,32,84,85,167
1991-354-MS023-1-12-m035-e025,wellington,/en/scores/1991/354/MS023/match-stats?isLive=False,01:23:00,83,m035,281,1,1,38,63,27,38,15,25,6,7,10,178,13,40,12,22,3,5,10,42,63,25,62,67,125,e025,249,2,1,40,62,27,40,10,22,2,5,10,93,11,38,10,25,1,7,10,37,62,21,63,58,125
1991-354-MS024-1-11-c009-g212,wellington,/en/scores/1991/354/MS024/match-stats?isLive=False,00:55:00,55,c009,281,2,1,18,36,14,18,12,18,0,1,7,289,15,29,11,13,6,9,7,26,36,26,42,52,78,g212,146,1,1,29,42,14,29,2,13,3,9,7,169,4,18,6,18,1,1,7,16,42,10,36,26,78
1991-354-MS028-1-10-a028-c113,wellington,/en/scores/1991/354/MS028/match-stats?isLive=False,01:06:00,66,a028,302,2,1,29,48,26,29,12,19,0,0,9,151,15,42,8,14,3,12,9,38,48,23,56,61,104,c113,248,3,3,42,56,27,42,6,14,9,12,9,47,3,29,7,19,0,0,9,33,56,10,48,43,104
1991-354-MS019-1-9-s015-c024,wellington,/en/scores/1991/354/MS019/match-stats?isLive=False,01:45:00,105,s015,257,3,1,68,91,40,68,13,23,6,11,14,216,23,61,18,25,6,10,13,53,91,41,86,94,177,c024,217,4,1,61,86,38,61,7,25,4,10,13,164,28,68,10,23,5,11,14,45,86,38,91,83,177
1991-354-MS022-1-8-k024-s321,wellington,/en/scores/1991/354/MS022/match-stats?isLive=False,02:11:00,131,k024,235,2,1,56,77,29,56,11,21,4,10,14,188,30,71,22,36,7,20,14,40,77,52,107,92,184,s321,208,2,7,71,107,41,71,14,36,13,20,14,198,27,56,10,21,6,10,14,55,107,37,77,92,184
1991-354-MS017-1-7-m048-s380,wellington,/en/scores/1991/354/MS017/match-stats?isLive=False,01:13:00,73,m048,273,1,2,36,57,24,36,12,21,5,6,8,214,10,32,25,33,5,11,8,36,57,35,65,71,122,s380,180,5,4,32,65,22,32,8,33,6,11,8,105,12,36,9,21,1,6,8,30,65,21,57,51,122
1991-354-MS030-1-6-o076-w124,wellington,/en/scores/1991/354/MS030/match-stats?isLive=False,01:47:00,107,o076,255,3,2,43,80,28,43,22,37,0,3,13,155,17,53,19,38,3,6,13,50,80,36,91,86,171,w124,249,2,5,53,91,36,53,19,38,3,6,13,199,15,43,15,37,3,3,13,55,91,30,80,85,171
1991-354-MS018-1-5-p198-d022,wellington,/en/scores/1991/354/MS018/match-stats?isLive=False,02:15:00,135,p198,206,1,4,80,121,49,80,13,41,20,27,14,227,43,79,16,30,9,16,14,62,121,59,109,121,230,d022,200,0,0,79,109,36,79,14,30,7,16,14,183,31,80,28,41,7,27,14,50,109,59,121,109,230
