2022-717,22,ATP 250,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,717,houston,"Houston, United States",2022.04.04,2022,4,4,28,16,Outdoor,Clay,"$665,330",USD,665330,/en/scores/archive/houston/717/2022/results,Reilly Opelka,/en/players/reilly-opelka/o522/overview,reilly-opelka,o522,Matthew Ebden,/en/players/matthew-ebden/e690/overview,matthew-ebden,e690,Max Purcell,/en/players/max-purcell/ph71/overview,max-purcell,ph71
2022-360,23,ATP 250,Grand Prix Hassan II,360,marrakech,"Marrakech, Morocco",2022.04.04,2022,4,4,32,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/marrakech/360/2022/results,David Goffin,/en/players/david-goffin/gb88/overview,david-goffin,gb88,Rafael Matos,/en/players/rafael-matos/mo41/overview,rafael-matos,mo41,David Vega Hernandez,/en/players/david-vega-hernandez/v758/overview,david-vega-hernandez,v758
2022-410,24,Masters 1000,Rolex Monte-Carlo Masters,410,monte-carlo,"Monte Carlo, Monaco",2022.04.10,2022,4,10,56,28,Outdoor,Clay,"€5,802,475",EUR,5802475,/en/scores/archive/monte-carlo/410/2022/results,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,te51,Rajeev Ram,/en/players/rajeev-ram/r548/overview,rajeev-ram,r548,Joe Salisbury,/en/players/joe-salisbury/so70/overview,joe-salisbury,so70
2022-425,25,ATP 500,Barcelona Open Banc Sabadell,425,barcelona,"Barcelona, Spain",2022.04.18,2022,4,18,48,16,Outdoor,Clay,"€2,802,580",EUR,2802580,/en/scores/archive/barcelona/425/2022/results,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,carlos-alcaraz,a0e2,Kevin Krawietz,/en/players/kevin-krawietz/kb92/overview,kevin-krawietz,kb92,Andreas Mies,/en/players/andreas-mies/mj40/overview,andreas-mies,mj40
2022-5053,26,ATP 250,Serbia Open,5053,belgrade,"Belgrade, Serbia",2022.04.18,2022,4,18,28,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/belgrade/5053/2022/results,Andrey Rublev,/en/players/andrey-rublev/re44/overview,andrey-rublev,re44,Ariel Behar,/en/players/ariel-behar/bd52/overview,ariel-behar,bd52,Gonzalo Escobar,/en/players/gonzalo-escobar/e661/overview,gonzalo-escobar,e661
2022-308,27,ATP 250,BMW Open by American Express,308,munich,"Munich, Germany",2022.04.25,2022,4,25,28,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/munich/308/2022/results,Holger Rune,/en/players/holger-rune/r0dg/overview,holger-rune,r0dg,Kevin Krawietz,/en/players/kevin-krawietz/kb92/overview,kevin-krawietz,kb92,Andreas Mies,/en/players/andreas-mies/mj40/overview,andreas-mies,mj40
2022-7290,28,ATP 250,Millennium Estoril Open,7290,estoril,"Estoril, Portugal",2022.04.25,2022,4,25,28,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/estoril/7290/2022/results,Sebastian Baez,/en/players/sebastian-baez/b0bi/overview,sebastian-baez,b0bi,Nuno Borges,/en/players/nuno-borges/bt72/overview,nuno-borges,bt72,Francisco Cabral,/en/players/francisco-cabral/cl84/overview,francisco-cabral,cl84
2022-1536,29,Masters 1000,Mutua Madrid Open,1536,madrid,"Madrid, Spain",2022.05.01,2022,5,1,56,28,Outdoor,Clay,"€7,499,290",EUR,7499290,/en/scores/archive/madrid/1536/2022/results,Carlos Alcaraz,/en/players/carlos-alcaraz/a0e2/overview,carlos-alcaraz,a0e2,Wesley Koolhof,/en/players/wesley-koolhof/kc41/overview,wesley-koolhof,kc41,Neal Skupski,/en/players/neal-skupski/sl22/overview,neal-skupski,sl22
2022-416,30,Masters 1000,Internazionali BNL d'Italia,416,rome,"Rome, Italy",2022.05.08,2022,5,8,56,32,Outdoor,Clay,"€6,008,725",EUR,6008725,/en/scores/archive/rome/416/2022/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Nikola Mektic,/en/players/nikola-mektic/mf09/overview,nikola-mektic,mf09,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00
2022-322,31,ATP 250,Gonet Geneva Open,322,geneva,"Geneva, Switzerland",2022.05.15,2022,5,15,28,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/geneva/322/2022/results,Casper Ruud,/en/players/casper-ruud/rh16/overview,casper-ruud,rh16,Nikola Mektic,/en/players/nikola-mektic/mf09/overview,nikola-mektic,mf09,Mate Pavic,/en/players/mate-pavic/pf00/overview,mate-pavic,pf00
2022-7694,32,ATP 250,Open Parc Auvergne-Rhone-Alpes Lyon,7694,lyon,"Lyon, France",2022.05.15,2022,5,15,28,16,Outdoor,Clay,"€597,900",EUR,597900,/en/scores/archive/lyon/7694/2022/results,Cameron Norrie,/en/players/cameron-norrie/n771/overview,cameron-norrie,n771,Ivan Dodig,/en/players/ivan-dodig/d646/overview,ivan-dodig,d646,Austin Krajicek,/en/players/austin-krajicek/ka00/overview,austin-krajicek,ka00
2022-520,33,Grand Slam,Roland Garros,520,roland-garros,"Paris, France",2022.05.22,2022,5,22,128,64,Outdoor,Clay,"€21,256,800",EUR,21256800,/en/scores/archive/roland-garros/520/2022/results,Rafael Nadal,/en/players/rafael-nadal/n409/overview,rafael-nadal,n409,Marcelo Arevalo,/en/players/marcelo-arevalo/a853/overview,marcelo-arevalo,a853,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513
