1980-707,59,,South Orange,707,south-orange,South Orange,1980.07.28,1980,7,28,32,16,Outdoor,Clay,"$75,000",USD,75000,/en/scores/archive/south-orange/707/1980/results,Jose-Luis Clerc,/en/players/jose-luis-clerc/c039/overview,jose-luis-clerc,c039,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Bill Maze,/en/players/bill-maze/m122/overview,bill-maze,m122
1980-717,60,,Indianapolis,717,indianapolis,Indianapolis,1980.08.04,1980,8,4,64,32,Outdoor,Clay,"$200,000",USD,200000,/en/scores/archive/indianapolis/717/1980/results,Jose-Luis Clerc,/en/players/jose-luis-clerc/c039/overview,jose-luis-clerc,c039,Kevin Curren,/en/players/kevin-curren/c057/overview,kevin-curren,c057,Steve Denton,/en/players/steve-denton/d019/overview,steve-denton,d019
1980-343,61,,Columbus,343,colombus,Colombus,1980.08.04,1980,8,4,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/colombus/343/1980/results,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Sandy Mayer,/en/players/sandy-mayer/m039/overview,sandy-mayer,m039
1980-421,62,,Montreal / Toronto,421,toronto,Toronto,1980.08.11,1980,8,11,64,32,Outdoor,Hard,"$175,000",USD,175000,/en/scores/archive/toronto/421/1980/results,Ivan Lendl,/en/players/ivan-lendl/l018/overview,ivan-lendl,l018,Bruce Manson,/en/players/bruce-manson/m014/overview,bruce-manson,m014,Brian Teacher,/en/players/brian-teacher/t011/overview,brian-teacher,t011
1980-320,63,,Cleveland,320,cleveland,Cleveland,1980.08.11,1980,8,11,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/cleveland/320/1980/results,Gene Mayer,/en/players/gene-mayer/m038/overview,gene-mayer,m038,,,,,,,,
1980-349,64,,Stowe,349,stowe,Stowe,1980.08.11,1980,8,11,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/stowe/349/1980/results,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Bernard Mitton,/en/players/bernard-mitton/m072/overview,bernard-mitton,m072
1980-422,65,,Cincinnati,422,cincinnati,Cincinnati,1980.08.18,1980,8,18,64,32,Outdoor,Hard,"$200,000",USD,200000,/en/scores/archive/cincinnati/422/1980/results,Harold Solomon,/en/players/harold-solomon/s065/overview,harold-solomon,s065,Bruce Manson,/en/players/bruce-manson/m014/overview,bruce-manson,m014,Brian Teacher,/en/players/brian-teacher/t011/overview,brian-teacher,t011
1980-412,66,,Atlanta,412,atlanta,Atlanta,1980.08.18,1980,8,18,32,16,Outdoor,Hard,"$75,000",USD,75000,/en/scores/archive/atlanta/412/1980/results,Eliot Teltscher,/en/players/eliot-teltscher/t012/overview,eliot-teltscher,t012,Tom Gullikson,/en/players/tom-gullikson/g049/overview,tom-gullikson,g049,Butch Walts,/en/players/butch-walts/w002/overview,butch-walts,w002
1980-560,67,Grand Slam,US Open,560,us-open,New York,1980.08.26,1980,8,26,128,64,Outdoor,Hard,"$350,000",USD,350000,/en/scores/archive/us-open/560/1980/results,John McEnroe,/en/players/john-mcenroe/m047/overview,john-mcenroe,m047,Robert Lutz,/en/players/robert-lutz/l045/overview,robert-lutz,l045,Stan Smith,/en/players/stan-smith/s060/overview,stan-smith,s060
1980-801,68,,Sawgrass Doubles,801,sawgrass,Sawgrass,1980.09.08,1980,9,8,0,32,Outdoor,Hard,"$175,000",USD,175000,/en/scores/archive/sawgrass/801/1980/results,,,,,Brian Gottfried,/en/players/brian-gottfried/g029/overview,brian-gottfried,g029,Raul Ramirez,/en/players/raul-ramirez/r065/overview,raul-ramirez,r065
